timestamp,source_ip,username,outcome,country,event_id
2026-08-01T08:00:00,192.0.2.10,khaya,SUCCESS,ZA,EVT-001
2026-08-01T09:00:00,203.0.113.50,analyst,FAILURE,ZA,EVT-002
2026-08-01T09:01:00,203.0.113.50,analyst,FAILURE,ZA,EVT-003
2026-08-01T09:02:00,203.0.113.50,analyst,FAILURE,ZA,EVT-004
2026-08-01T09:03:00,203.0.113.50,analyst,FAILURE,ZA,EVT-005
2026-08-01T09:04:00,203.0.113.50,analyst,FAILURE,ZA,EVT-006
2026-08-01T09:05:00,203.0.113.50,analyst,SUCCESS,ZA,EVT-007
2026-08-01T10:00:00,198.51.100.77,user1,FAILURE,US,EVT-008
2026-08-01T10:01:00,198.51.100.77,user2,FAILURE,US,EVT-009
2026-08-01T10:02:00,198.51.100.77,user3,FAILURE,US,EVT-010
2026-08-01T10:03:00,198.51.100.77,user4,FAILURE,US,EVT-011
2026-08-01T10:04:00,198.51.100.77,user5,FAILURE,US,EVT-012
2026-08-01T11:00:00,192.0.2.80,manager,SUCCESS,ZA,EVT-013
2026-08-01T11:35:00,198.51.100.80,manager,SUCCESS,GB,EVT-014
